,KNN,AGG,SPEC,DBscan,BIRCH
Variance,0.7230769230769231,0.6256410256410256,0.6564102564102564,0.5384615384615384,0.7230769230769231
Sim Entropy,0.5487179487179488,0.6974358974358974,0.5025641025641026,0.7538461538461538,0.5692307692307692
Rep Entropy,0.6051282051282051,0.5846153846153846,0.6923076923076923,0.7538461538461538,0.7333333333333333
Lap Score,0.5692307692307692,0.676923076923077,0.676923076923077,0.7538461538461538,0.6923076923076923
SPECtrum,0.6,0.5897435897435898,0.6307692307692307,0.7538461538461538,0.7282051282051282
Mutual Corre,0.5435897435897435,0.5897435897435898,0.6717948717948717,0.6307692307692307,0.6820512820512821
MICI,0.7230769230769231,0.6256410256410256,0.6564102564102564,0.5384615384615384,0.7230769230769231
MDCM,0.7692307692307693,0.7692307692307693,0.7230769230769231,0.4461538461538462,0.7230769230769231
Linear Depend,0.6871794871794872,0.676923076923077,0.6923076923076923,0.7538461538461538,0.6974358974358974
MPMR,0.5384615384615384,0.5025641025641026,0.5948717948717949,0.517948717948718,0.6923076923076923
MCFS,0.5435897435897435,0.5897435897435898,0.6717948717948717,0.6307692307692307,0.6820512820512821
RSPCA,0.5333333333333333,0.5076923076923077,0.8051282051282052,0.6358974358974359,0.517948717948718
