,KNN,AGG,SPEC,DBscan,BIRCH
Variance,0.517948717948718,0.6820512820512821,0.7076923076923077,0.7538461538461538,0.6820512820512821
Sim Entropy,0.5487179487179488,0.5230769230769231,0.6923076923076923,0.7538461538461538,0.6564102564102564
Rep Entropy,0.5487179487179488,0.5230769230769231,0.6923076923076923,0.7538461538461538,0.6564102564102564
Lap Score,0.5128205128205128,0.6564102564102564,0.6923076923076923,0.7538461538461538,0.6564102564102564
SPECtrum,0.6,0.6974358974358974,0.6974358974358974,0.7538461538461538,0.6820512820512821
Mutual Corre,0.5487179487179488,0.5230769230769231,0.6923076923076923,0.7538461538461538,0.6564102564102564
MICI,0.517948717948718,0.6820512820512821,0.7076923076923077,0.7538461538461538,0.6820512820512821
MDCM,0.5641025641025641,0.6820512820512821,0.6974358974358974,0.7538461538461538,0.6820512820512821
Linear Depend,0.5487179487179488,0.6820512820512821,0.7076923076923077,0.7538461538461538,0.6820512820512821
MPMR,0.5948717948717949,0.6820512820512821,0.6923076923076923,0.7538461538461538,0.6820512820512821
MCFS,0.6051282051282051,0.5128205128205128,0.6871794871794872,0.7538461538461538,0.6461538461538462
RSPCA,0.6,0.7230769230769231,0.7128205128205128,0.7538461538461538,0.6820512820512821
