,KNN,AGG,SPEC,DBscan,BIRCH
Variance,0.6871794871794872,0.6307692307692307,0.7487179487179487,0.7538461538461538,0.6153846153846154
Sim Entropy,0.6102564102564103,0.6717948717948717,0.6564102564102564,0.7538461538461538,0.5282051282051282
Rep Entropy,0.5948717948717949,0.6717948717948717,0.6871794871794872,0.7538461538461538,0.7333333333333333
Lap Score,0.5230769230769231,0.5641025641025641,0.7897435897435897,0.7538461538461538,0.6564102564102564
SPECtrum,0.6923076923076923,0.6923076923076923,0.6615384615384615,0.7538461538461538,0.7333333333333333
Mutual Corre,0.5948717948717949,0.5641025641025641,0.6820512820512821,0.7538461538461538,0.7333333333333333
MICI,0.6410256410256411,0.6923076923076923,0.7487179487179487,0.7538461538461538,0.6307692307692307
MDCM,0.6717948717948717,0.7282051282051282,0.8051282051282052,0.7538461538461538,0.6974358974358974
Linear Depend,0.7846153846153846,0.7282051282051282,0.7333333333333333,0.7538461538461538,0.5487179487179488
MPMR,0.6,0.5692307692307692,0.6923076923076923,0.7538461538461538,0.6564102564102564
MCFS,0.558974358974359,0.6205128205128205,0.7282051282051282,0.7538461538461538,0.7333333333333333
RSPCA,0.7282051282051282,0.764102564102564,0.8153846153846154,0.7538461538461538,0.6717948717948717
