,Linear,ridge,LASSO,Gradient,randomfroest
Variance,0.0,0.0,0.0,0.0,0.0
Sim Entropy,0.41118954628443066,0.4004267138811225,0.5695550356812054,0.7210226850511595,0.9475797256569536
Rep Entropy,0.7483036190863184,0.7504146890339428,0.8695719957001925,0.738372136254183,0.8715624940832175
Lap Score,0.0,0.0,0.34009658874378135,0.0,0.25379479870835814
SPECtrum,0.0,0.0,0.0,0.0,0.0
Mutual Corre,0.41118954628443066,0.40042671388111817,0.5694957746980485,0.7337104686476604,0.9453673516457743
MICI,0.0,0.0,0.0,0.0,0.0
MDCM,0.8397833737982151,0.8257729994555808,1.0,0.9246015235734426,0.8714011704837066
Linear Depend,0.7710474439028877,0.7562505202645977,1.0,0.6987871229794148,0.6747681443639506
MPMR,0.6280542657135666,0.6197678383954444,0.771400649325598,0.8686610591463468,0.8331153601711183
MCFS,0.1841773885435771,0.17176127328389384,0.5935600947989186,0.1688268911309931,0.47587986130736953
RSPCA,0.988502516927636,0.9688604448475094,1.0,1.0,0.7583502609525271
ANOVA F,0.6169758344195266,0.5875832227764716,0.8055562807822887,0.889529019123656,0.9205520601183409
ReliefF,0.7786597853027527,0.7670784483486917,1.0,0.9605097271149916,0.9694655863053128
Info Gain,1.0,1.0,1.0,0.7426481042667327,0.9612332417252057
MRMR,0.6169329491666531,0.5859781837149527,0.8055512413379504,0.8350739423389033,0.9102750907478375
ERFS,0.8690523784351508,0.8820863133820993,0.949923923217073,0.7715446902274161,0.970478971933929
