,Linear,ridge,LASSO,Gradient,randomfroest
Variance,0.0,0.0,0.0,0.0,0.0
Sim Entropy,1.0,1.0,0.9899516676048007,1.0,1.0
Rep Entropy,0.5415136658075262,0.5415954509681091,0.554838588066052,0.5544092442918702,0.44899536774028576
Lap Score,0.03710556225501019,0.03709508148103776,0.046457883584854726,0.035419203666917344,0.03750010334011185
SPECtrum,0.2281818717930607,0.2281813814273906,0.23080037288374194,0.22139930892872847,0.2230196880150589
Mutual Corre,0.6523264482647567,0.6559882835178885,0.5790158052856482,0.7832485260272285,0.7867475152277994
MICI,0.0,0.0,0.0,0.0,0.0
MDCM,0.0,0.0,0.0,0.0,0.0
Linear Depend,0.0,0.0,0.0,0.0,0.0
MPMR,0.5072367314801206,0.5074719230917752,0.5180017448829195,0.5268322063651569,0.42092159779870686
MCFS,0.0,0.0,0.0,0.0,0.0
RSPCA,0.0,0.0,0.0,0.0,0.0
ANOVA F,0.9859654321942963,0.9869723924310624,0.9828667132646408,0.9804043022768242,0.9820881846548422
ReliefF,0.9859654321942963,0.9869723924310624,0.9828667132646408,0.9804043022768242,0.9820881846548422
Info Gain,0.9859654321942963,0.9869723924310624,0.9828667132646408,0.9804043022768242,0.9820881846548422
MRMR,0.9859654321942963,0.9869723924310624,0.9828667132646408,0.9804043022768242,0.9820881846548422
ERFS,1.0,1.0,1.0,1.0,0.9931578004755429
